Timestamp,What department/school/institution are you based in? Please use the three digit acronym in your UEA email signature.  ,Would you class yourself or those in your household as moderate risk or high risk (see here: https://bit.ly/3ikNYxv) from COVID-19?,"What is your ethnicity? We are using the HESA/UEA categories, so please feel free to leave this question blank if you do not believe these categories correctly identify your ethnicity. ",What kind of contract(s) are you employed on at UEA?,Have you undertaken any face-to-face learning activities so far this term?,How satisfied are you with UEA's response to the resumption of face-to-face learning activities?,"How satisfed are you with the training and support available to staff to aid ""blended"" or fully online learning approaches?",Which of the following statements match your feelings about the resumption of face-to-face learning activities? (Tick all that apply),How strongly do you agree with the following statements? [The changes to learning necessary this year have led to an increase in my workload],How strongly do you agree with the following statements? [My workload concerns have been acknowledged by my line manager and adequate steps have been taken to ensure I am not overworked.],How strongly do you agree with the following statements? [My workload this term is manageable],How strongly do you agree with the following statements? [My workload this term is having a negative impact on my mental and/or physical wellbeing],How strongly do you agree with the following statements? [I know how to raise any workload concerns I may have],Which of the following statements match your feelings about face-to-face learning activities? (Tick all that apply),How strongly do agree with the following statements? [UEA staff should be providing every student with two hours face-to-face contact per week],How strongly do agree with the following statements? [All teaching should be delivered online with the exception of practical classes where this is not possible],How strongly do agree with the following statements? [UEA staff should be providing students with more than two hours per week face to face teaching],How strongly do agree with the following statements? [I feel relaxed about the prospect of delivering face-to-face learning activities],How strongly do agree with the following statements? [I am concerned about catching COVID-19 and/or spreading it to others as a result of face to face teaching],How strongly do agree with the following statements? [I feel that I can discuss concerns about face to face teaching with my line manager],"Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There should be a faculty level discussion to determine which labs are essential to ensure degree quality, and which are optional.]",Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [Only essential skills and labs should be being taught face to face. All other labs should be taught by online demonstration.],Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There is sufficient PPE provided to make these teaching sessions safe enough.],Please outline any further thoughts - positive or negative - you have about face-to-face learning activities in the Autumn 2020 semester,The National UCU position is that teaching should be online this semester unless there is a clear reason why this activity needs to happen face-to-face (such as practical laboratory sessions).  Do you agree with this position?,UEA has indicated it wishes to increase face-to-face learning activities from week five.  Should UCU UEA oppose this?,What would you like the branch to do in response to the resumption of face-to-face learning activities and are there any other comments you would like to leave for the committee?,"May we quote your written responses in any future reports, communications, or ongoing discussions with management?"
10/6/2020 8:56:33,ECO,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,3,5,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Object strongly (and take other action) if this opposes the Science.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:57:23,SCI,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,2,3,"My concern about resuming face-to-face learning activities has increased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,"I feel my concerns are heard, but nothing is done as a result",Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,I don't know,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:58:35,his,One or more of my household or people I have caring responsibilities for,,,Yes.,4,4,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:58:51,NBS,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",1,6,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns have been totally ignored, I don't know how to effectively voice my concerns",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:59:32,NBS,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,4,6,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:01:55,HIS,One or more of my household or people I have caring responsibilities for,,,Yes.,1,4,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:03:11,HSC,Myself,,,No and I am not currently scheduled to do so.,1,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","The university is admitting that there is a reducing level of compliance with covid behaviours (face mask wearing, social distancing etc) by students. There are increasing numbers of covid cases in the university and surrounding community. So the risk level is rapidly rising and the mitigations reducing. This is an insane context in which to be encouraging greater f2f teaching. UCU should be highlighting that in these contexts it is completely unsafe to teach f2f, and consideration should be made to withdraw from f2f teaching.
","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:03:19,ENV,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,5,4,I don't/didn't have concerns about resuming face-to-face learning activities,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,I don't have any concerns about face-to-face learning activities,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,,Yes,I don't know,"Strongly support the idea of only essential, practical teaching being F2F. If this means arts and humanities don't have any, so be it. That said, I am in the sciences and the voices of A&H colleagues should be loudest on what they want to do.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:06:42,LDC,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,5,5,I'm very concerned about resuming face-to-face learning activities,Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result, I don't know how to effectively voice my concerns",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",The branch should encourage members to use Section 44 of the Employment Rights Act 1996 to refuse work which they feel puts them in immediate danger. The branch should also back up members who refuse face-to-face work with Employment Tribunals and even balloting for strike action.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:06:46,HIS,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,3,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,,I don't know,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:07:18,PSY,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,4,6,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Take a strong position backed up by survey data such as this across the membership.,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:08:13,PPL,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,5,4,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:08:23,BIO,One or more of my household or people I have caring responsibilities for,,,Yes.,5,3,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,,No,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","on-line only increases workload, upskilling takes time, quality of delivery will be patchy - just like old-school teaching","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:08:43,LDC,Myself,,,No and I am not currently scheduled to do so.,4,5,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Negotiate. Voice our opposition and concerns. ,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:09:30,,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,7,6,"My concern about resuming face-to-face learning activities has increased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,,,,,No,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,
10/6/2020 9:11:20,LDC,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,4,"I don't/didn't have concerns about resuming face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition, We and our students face other risks than Covid, and ceasing all f2f contact would have major ramifications for mental health especially",Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,"My concerns are to do with competence, but I appreciate that everyone is learning on the job",Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,,,,,No,I don't know,"Anything we need to do must take into account all the related risks (not just Covid), and to extent of risks (for instance, local R number). Screaming about this being a 'public health capacity', as Jo Grady did on the radio last week, helps nobody, and just makes us look unserious. Teaching Unions have been working tirelessly to ensure that they can support their students while maintaining safely, and I'd like to think that UCU could do the same instead of posturing. But similarly, the announcement that we'll expand f2f contact from week 6 is mad, both as it doesn't take into account the spread of the virus, and as it creates a vast amount of timetabling workload for administrative staff who are already behind and overwhelmed and hugely slowed by working remotely.
If there is one thing that could be done now, it would be to push the university to expand its asymptomatic testing. I had mine done on the first day of term, and it turns out I can't have another until further notice. We need people being regularly tested rather than a one-off on the first day of term, if we're actually going to monitor and check the spread of the virus.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:13:37,swk,Myself and one or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,6,3,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,I am not doing and face to face teaching - so my concerns not relevant,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,,,,,I don't know,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:14:54,LDC,Myself and one or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,2,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"I feel my concerns have been totally ignored, I don't know how to effectively voice my concerns",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Our branch should insist that no one teach face-to-face unless they want to and are protected with masks etc.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:15:42,PPL,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,2,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has decreased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result, I don't know how to effectively voice my concerns",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","UCU should try to liaise with the university; if face-to-face learning is resuming in week 5 then there should be compulsory testing and there should be safety measures installed between now and week 4. The university needs to provide affordable services for students who need to quarantine (e.g. catering that costs less than £250 for two weeks, as flats cannot get food delivered from supermarkets) so that if individual students or whole flats have to self-isolate then they can do this comfortably and effectively. The university must show that safe learning is the only option when it comes to face-to-face learning, to avoid large disparities of unequal access for staff and students who are at high risk or are in contact with family or friends at high risk. ","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:15:58,HSC,One or more of my household or people I have caring responsibilities for,,,Yes.,2,5,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:16:06,VCO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,8,9,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,I feel my concerns are heard and appropriate actions are taken,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","The branch needs to think more about these issues from a student perspective
","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:16:41,ldc,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,1,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Disagree,Agree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:17:22,AMA,One or more of my household or people I have caring responsibilities for,,,Yes.,7,7,"My concern about resuming face-to-face learning activities has decreased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Agree,Agree,Disagree,Strongly Disagree,I feel my concerns are heard and appropriate actions are taken,Agree,Disagree,Disagree,Agree,Disagree,Agree,,,,,No,I don't know,Request a centralised University approach/fund/procurement for provision of tech to support online and face to face teaching.,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:19:04,ECO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,3,I believe we should be doing a lot more f2f (the above options are all loaded in the same direction ... why are you assuming we are all so paranoid??),Strongly Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,"Again, you're assuming I'm concerned about f2f. I'm more concerned about the lack of it.",Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,,,,,I don't know,I don't know,"I would prefer the branch to drop its opposition to f2f teaching per se, but to emphasise that workloads are already impossible and will only become more so if the whole mode of delivery changes mid-semester.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:19:48,DEV,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",6,7,"I don't/didn't have concerns about resuming face-to-face learning activities, I don't personally, because I have a very small cohort, but recognise this is a big concern for others",Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,"I don't have any concerns about face-to-face learning activities, While I don't personally have concerns, i feel that others concerns have been ignored at the university level with the move towards greater f-t-f",Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,,,,,No,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","A helpline or email would be good as I'm not clear where to direct colleagues with concerns about, e.g. student mask wearing. I am also not comfortable with the individual risk assessment which is a blunt instrument and doesn't look at risk to the person's household being the sole determinant of whether someone has to teach f-t-f.  ","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:20:55,ENV,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",9,7,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,,,,I don't know,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:21:02,PSY,Myself,,,Yes.,5,7,"I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:22:05,DEV,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",6,7,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,,,,,I don't know,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",The big tents seem like a really good option to teach in a safer environment. It would be good if these remained past Oct 14th.,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:22:24,Ppl,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,5,7,My concern about resuming face-to-face learning activities has increased since the start of September,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Issue a statement to the university if there is a majority of members against resumption of f2f teaching,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:22:36,AMA,Myself,,,"No, but I am scheduled to do so later this term.",3,6,My concern about resuming face-to-face learning activities has increased since the start of September,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",,Strongly agree,,,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,
10/6/2020 9:22:44,EDU,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,2,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","help us fight and refuse. It's dangerous, and unnecessary. We can do this online. Also, please work with the SU on this","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:23:35,DEV,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,1,1,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I don't know how to effectively voice my concerns,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","The point isn't really 'face to face - yes or no', it's 'face to face - under what conditions', and this is what UCU has been saying for months.   While test and trace (at a national level - supplemented at UEA but only on a voluntary basis), temperature checking, ventilation, and and proper control of student behaviour are not in place, then activities should be online so that staff do not risk their own health and that of their household members for the sake of the university that is prioritising the maintenance of face to face teaching to shore up income from accommodation and student satisfaction. ","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:26:26,Uea,Myself,,,No and I am not currently scheduled to do so.,2,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Protect staff health and oppose the resumption of f2f teaching this academic year unless absolutely necessary,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:28:15,HIS,One or more of my household or people I have caring responsibilities for,,,Yes.,1,4,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:29:09,LAW,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,5,5,I don't/didn't have concerns about resuming face-to-face learning activities,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,I don't have any concerns about face-to-face learning activities,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,,,,,I don't know,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:31:54,HSC,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,7,7,I don't/didn't have concerns about resuming face-to-face learning activities,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,I'm not due to do any,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,,,,,Yes,I don't know,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:31:56,CMP,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,6,7,I am not sure about the F2F teaching we are doing since it is only on labs and still remote so no real need for them to be F2F.,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,I just think much of what we are doing F2F is a little bit pointless.,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",I have no problem with F2F activities if we had the resource to deliver.  Our AT budget has been cut by over 70% whereas our labs have increased by 4 because of social distancing. Our recruitment this year is over the roof contrary to expectations.  At the moment we may have to each spend up to 20 h per week in labs to deliver some F2F but as we cannot get close to the students we will be operating remotely from a computer in the back. It is totally nonsense to do this. ,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:32:36,NBS,One or more of my household or people I have caring responsibilities for,,,Yes.,4,4,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,,,,,No,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Engage in meaningful negotiations on behalf of it's members,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:36:36,,Myself and one or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",4,2,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I don't know how to effectively voice my concerns,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
